**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -2.3842    -7.0341    -0.3461 |   -8.7026
   -2.3842    -7.0341    -0.3261 |   -8.8226
   -2.3842    -7.0141    -0.3661 |   -8.6126
   -2.3842    -7.0141    -0.3461 |   -8.7326
   -2.3842    -6.9941    -0.3661 |   -8.6426
   -2.3842    -6.9741    -0.3861 |   -8.5526
   -2.3842    -6.9741    -0.3661 |   -8.6726
   -2.3842    -6.9541    -0.3861 |   -8.5826
   -2.3842    -6.9341    -0.4061 |   -8.4926
   -2.3842    -6.9141    -0.4061 |   -8.5226
   -2.3842    -6.8941    -0.4261 |   -8.4326
   -2.3842    -6.8541    -0.4461 |   -8.3726
   -2.3642    -7.5341    -0.0661 |   -9.7026
   -2.3642    -7.5141    -0.0661 |   -9.7326
   -2.3642    -7.4941    -0.0861 |   -9.6426
   -2.3642    -7.4941    -0.0661 |   -9.7626
   -2.3642    -7.4741    -0.0861 |   -9.6726
   -2.3642    -7.4741    -0.0661 |   -9.7926
   -2.3642    -7.4541    -0.1061 |   -9.5826
   -2.3642    -7.4541    -0.0861 |   -9.7026
   -2.3642    -7.4541    -0.0661 |   -9.8226
   -2.3642    -7.4341    -0.1261 |   -9.4926
   -2.3642    -7.4341    -0.1061 |   -9.6126
   -2.3642    -7.4341    -0.0861 |   -9.7326
   -2.3642    -7.4341    -0.0661 |   -9.8526
   -2.3642    -7.4141    -0.1261 |   -9.5226
   -2.3642    -7.4141    -0.1061 |   -9.6426
   -2.3642    -7.4141    -0.0861 |   -9.7626
   -2.3642    -7.3941    -0.1461 |   -9.4326
   -2.3642    -7.3941    -0.1261 |   -9.5526
   -2.3642    -7.3941    -0.1061 |   -9.6726
   -2.3642    -7.3941    -0.0861 |   -9.7926
   -2.3642    -7.3741    -0.1461 |   -9.4626
   -2.3642    -7.3741    -0.1261 |   -9.5826
   -2.3642    -7.3741    -0.1061 |   -9.7026
